LtgNr;Kurzname1;Pin1;xy1;Kontakt1;Kurzname2;Pin2;xy2;Kontakt2;Sonderltg;Innenleiter;Longueur;Farbe;Quer.
765147;SP_RSVL1;1;1-83H;-;DZF_VL2H;1;1-76G;-;SL765147;2-sw;1553;SW;0,5
765148;DZF_VL2A;1;1-76G;-;SP_RSVL1;1;1-83H;-;SL765148;2-sw;1553;SW;0,5
765149;SP_RSVL2;1;1-83H;-;DZF_VL2H;2;1-76G;-;SL765147;1-br;1553;BR;0,5
765150;SP_RSVL2;1;1-83H;-;DZF_VL2A;2;1-76G;-;SL765148;1-br;1553;BR;0,5
765151;DZF_VR2H;1;1-76E;-;SP_RSVR1;1;1-81B;-;SL765151;2-sw;1218;SW;0,5
765152;SP_RSVR1;1;1-81B;-;DZF_VR2A;1;1-76E;-;SL765152;2-sw;1218;SW;0,5
765153;SP_RSVR2;1;1-81B;-;DZF_VR2H;2;1-76E;-;SL765151;1-gn;1218;GN;0,5
765154;DZF_VR2A;2;1-76E;-;SP_RSVR2;1;1-81B;-;SL765152;1-gn;1218;GN;0,5
765155;BVA1_2H;1;1-75D;-;SP_BVAV1;1;1-84B;-;SL765151;3-bl;1393;BL;0,5
765156;SP_BVAV1;1;1-84B;-;BVA1_2A;1;1-75E;-;SL765152;3-bl;1393;BL;0,5
