1;LTGS.MOTORRAUM BASIS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;V1;11N_970_700_C;L0L/L0R;1744 (g);~;CU: 647 (g);Al: 0 (g);;;;;;;;;;;;;;;;;;;;;;;
0;Ltg-Nr.;Verbindung;von;Kurzname;Pin;xy;Kontakt;Dichtung;nach;Kurzname;Pin;xy;Kontakt;Dichtung;Leitung;Sonderltg.;Innenleiter;Länge;Farbe;Quer.;Pot.;V1;Ltg-Nr.;;;;;;;
3;705109;M.31..MB673_B1_179_1_1;179;SP_MB673B1;1;1-41F;-;-;XB.NX6.501;EBKVB_2;1;1-49H;N_105_112_03;357_972_740_E;N_037_008_8;-;-;935;BR;0,5;M.31..MB673_B1;x;x;x;x;-;-;-;-;705109
3;705110;S.WK_BFG.._XB.NX6.501_2_1;XB.NX6.501;EBKVB_2;2;1-49H;N_105_112_03;357_972_740_E;XB.J519.1;SAMB;13;1-82F;N_907_649_01;-;N_037_005_8;-;-;1197;BL/BR;0,5;S.WK_BFG..;x;x;x;x;-;-;-;-;705110
3;705111;V.30A..EM_F32_XA.NX6.501_1_1;XA.NX6.501;EBKVA_2;1;1-47H;N_105_120_02;357_972_742_C;E-BOX;EMBF;32A;1-33H;N_105_120_04;-;N_037_063_3;-;-;1295;RT;6;V.30A..EM_F32;x;x;x;x;-;-;-;-;705111
3;705112;M.31..MB672-886_D1_XD.886.2_1_1;XD.886.2;MB886D;1;1-51J;6Q0_971_859_A;-;XA.NX6.501;EBKVA_2;9;1-47H;N_105_120_02;357_972_742_C;N_037_068_8;-;-;560;BR;6;M.31..MB672-886_D1;x;x;-;-;-;-;-;-;705112
3;705113;S.BLS..SAM_C58_XA.NX6.501_11_1;XA.NX6.501;EBKVA_2;11;1-47H;N_105_111_03;357_972_740_E;TIUL.2C1;3TRKMR;2;1-87G;N_105_981_01;-;N_037_099_3;-;-;1482;SW/RT;0,35;S.BLS..SAM_C58;x;x;x;x;-;-;-;-;705113
3;705140;D.CAN_EBKV_H.._XA.NX6.501_16_1;XA.NX6.501;EBKVA_2;16;1-47H;N_105_111_03;357_972_740_E;XA.J104.501;ESPB;7;1-72C;N_107_396_01;BLOC_SEAL_120_FLR;N_108_151_35;SL705140;2-sw;2186;SW;0,35;D.CAN_EBKV_H..;x;-;x;-;-;-;-;-;705140
3;705141;D.CAN_EBKV_L.._XA.J104.501_8_1;XA.J104.501;ESPB;8;1-72C;N_107_396_01;BLOC_SEAL_120_FLR;XA.NX6.501;EBKVA_2;15;1-47H;N_105_111_03;357_972_740_E;N_108_151_35;SL705140;1-or/sw;2186;OR/SW;0,35;D.CAN_EBKV_L..;x;-;x;-;-;-;-;-;705141
3;705142;D.CAN_EBKV_H.._E159_1_1;E159;SP_CANHBKV;1;1-55G;-;-;XA.NX6.501;EBKVA_2;16;1-47H;N_105_111_03;357_972_740_E;N_108_151_35;SL705142;2-sw;908;SW;0,35;D.CAN_EBKV_H..;-;x;-;x;-;-;-;-;705142
3;705143;D.CAN_EBKV_L.._E160_1_1;E160;SP_CANLBKV;1;1-56G;-;-;XA.NX6.501;EBKVA_2;15;1-47H;N_105_111_03;357_972_740_E;N_108_151_35;SL705142;1-or/sw;887;OR/SW;0,35;D.CAN_EBKV_L..;-;x;-;x;-;-;-;-;705143
3;705144;D.CAN_EBKV_H.._E159_1_2;E159;SP_CANHBKV;1;1-55G;-;-;XA.J104.501;ESPB;7;1-72C;N_107_396_01;BLOC_SEAL_120_FLR;N_108_151_35;SL705144;2-sw;1804;SW;0,35;D.CAN_EBKV_H..;-;x;-;x;-;-;-;-;705144
3;705145;D.CAN_EBKV_L.._E160_1_2;E160;SP_CANLBKV;1;1-56G;-;-;XA.J104.501;ESPB;8;1-72C;N_107_396_01;BLOC_SEAL_120_FLR;N_108_151_35;SL705144;1-or/sw;1783;OR/SW;0,35;D.CAN_EBKV_L..;-;x;-;x;-;-;-;-;705145
3;705146;D.CAN_EBKV_H.._TIUL.2C1_5_1;TIUL.2C1;3TRKMR;5;1-87G;N_105_981_01;-;E159;SP_CANHBKV;1;1-55G;-;-;N_108_151_35;SL705146;2-sw;1100;SW;0,35;D.CAN_EBKV_H..;-;x;-;x;-;x;-;x;705146
3;705147;D.CAN_EBKV_L.._TZPT.1AS1_2_1;E160;SP_CANLBKV;1;1-56G;-;-;TIUL.2C1;3TRKMR;6;1-87G;N_105_981_01;-;N_108_151_35;SL705146;1-or/sw;1079;OR/SW;0,35;D.CAN_EBKV_L..;-;x;-;x;-;x;-;x;705147
3;705148;D.CAN_EBKV_H.._E159_1_3;E159;SP_CANHBKV;1;1-55G;-;-;XA.NX6.501.1;EBKVA_R;16;1-57C;N_105_111_03;357_972_740_E;N_108_151_35;SL705148;2-sw;1854;SW;0,35;D.CAN_EBKV_H..;-;-;-;-;-;x;-;x;705148
3;705149;D.CAN_EBKV_L.._E160_1_3;E160;SP_CANLBKV;1;1-56G;-;-;XA.NX6.501.1;EBKVA_R;15;1-57C;N_105_111_03;357_972_740_E;N_108_151_35;SL705148;1-or/sw;1833;OR/SW;0,35;D.CAN_EBKV_L..;-;-;-;-;-;x;-;x;705149
3;705150;D.CAN_EBKV_H.._E159_1_4;E159;SP_CANHBKV;1;1-55G;-;-;XA.J104.501.1;ESPB_R;7;1-53D;N_107_396_01;BLOC_SEAL_120_FLR;N_108_151_35;SL705150;2-sw;666;SW;0,35;D.CAN_EBKV_H..;-;-;-;-;-;x;-;x;705150
3;705151;D.CAN_EBKV_L.._E160_1_4;E160;SP_CANLBKV;1;1-56G;-;-;XA.J104.501.1;ESPB_R;8;1-53D;N_107_396_01;BLOC_SEAL_120_FLR;N_108_151_35;SL705150;1-or/sw;688;OR/SW;0,35;D.CAN_EBKV_L..;-;-;-;-;-;x;-;x;705151
3;705152;S.SIGNAL..NX6_A17_XA.NX6.501.1_17_1;XA.NX6.501.1;EBKVA_R;17;1-57C;N_105_115_03;357_972_741_B;TFWV.1A1;1FWVW;8;1-43F;N_103_190_02;357_972_741_B;N_037_048_0;-;-;2176;BR/WS;2,5;S.SIGNAL..NX6_A17;-;-;-;-;x;x;x;x;705152
3;705153;S.SIGNAL..NX6_A26_XA.NX6.501.1_26_1;XA.NX6.501.1;EBKVA_R;26;1-57C;N_105_115_03;357_972_741_B;TFWV.1A1;1FWVW;7;1-43F;N_103_190_02;357_972_741_B;N_037_043_1;-;-;2176;RT/GE;2,5;S.SIGNAL..NX6_A26;-;-;-;-;x;x;x;x;705153
3;705154;S.DZ_S..FR_XA.J104.501_19_1;XA.J104.501;ESPB;19;1-72C;N_107_396_01;BLOC_SEAL_120_FLR;TFWV.1B1;2FWVW;4;1-42D;N_103_360_03;357_972_740_E;N_037_097_5;-;-;2056;GR/BL;0,35;S.DZ_S..FR;-;-;x;x;-;-;-;-;705154
3;705155;S.DZ_S..FR_XA.J104.501.1_19_1;XA.J104.501.1;ESPB_R;19;1-53D;N_107_396_01;BLOC_SEAL_120_FLR;TFWV.1B1;2FWVW;4;1-42D;N_103_360_03;357_972_740_E;N_037_097_5;-;-;1245;GR/BL;0,35;S.DZ_S..FR;-;-;-;-;-;-;x;x;705155
3;705156;S.SIGNAL..NX6_A17_XA.NX6.501_17_1;XA.NX6.501;EBKVA_2;17;1-47H;N_105_115_03;357_972_741_B;TFWV.1A1;1FWVW;8;1-43F;N_103_190_02;357_972_741_B;N_037_048_0;-;-;1030;BR/WS;2,5;S.SIGNAL..NX6_A17;x;x;x;x;-;-;-;-;705156
3;705157;S.SIGNAL..NX6_A26_XA.NX6.501_26_1;XA.NX6.501;EBKVA_2;26;1-47H;N_105_115_03;357_972_741_B;TFWV.1A1;1FWVW;7;1-43F;N_103_190_02;357_972_741_B;N_037_043_1;-;-;1030;RT/GE;2,5;S.SIGNAL..NX6_A26;x;x;x;x;-;-;-;-;705157
3;705160;D.CAN_F_H..FD_XA.J104.501_42_1;XA.J104.501;ESPB;42;1-72C;N_107_396_01;BLOC_SEAL_120_FLR;ID_CON8;SP_CANHFWV1;1;1-50A;-;-;N_108_564_04;SL705160;1-ws;644;WS;0,35;D.CAN_F_H..FD;x;x;-;-;-;-;-;-;705160
3;705161;D.CAN_F_L..FD_E126_1_1;ID_CON9;SP_CANLFWV1;1;1-50A;-;-;XA.J104.501;ESPB;26;1-72C;N_107_396_01;BLOC_SEAL_120_FLR;N_108_564_04;SL705160;2-or/br;644;OR/BR;0,35;D.CAN_F_L..FD;x;x;-;-;-;-;-;-;705161
